0.226,0.07
0.016,0.0
0.038,0.0
0.06,0.0
0.084,0.004
0.478,0.006
0.0,0.01
0.354,0.056
0.402,0.044
0.112,0.06
0.074,0.052
0.28,0.022
0.114,0.008
0.296,0.066
0.47,0.02
0.432,0.012
0.264,0.068
0.348,0.018
0.37,0.018
0.142,0.066
0.416,0.04
0.12,0.01
0.166,0.014
0.022,0.0
0.478,0.014
0.31,0.064
0.248,0.07
0.066,0.048
0.144,0.012
0.34,0.058
0.24,0.02
0.446,0.008
0.006,0.02
0.068,0.05
0.296,0.02
0.194,0.07
0.43,0.036
0.196,0.018
0.392,0.046
0.386,0.016
0.416,0.012
0.22,0.02
0.354,0.018
0.066,0.002
0.334,0.02
0.254,0.07
0.232,0.07
0.21,0.07
0.088,0.056
0.444,0.032
0.044,0.0
0.09,0.004
0.462,0.006
0.406,0.042
0.462,0.024
0.368,0.052
0.3,0.066
0.258,0.02
0.302,0.02
0.178,0.07
0.118,0.062
0.202,0.018
0.096,0.006
0.432,0.01
0.33,0.06
0.142,0.064
0.08,0.052
0.286,0.022
0.37,0.052
0.27,0.068
0.318,0.02
0.34,0.02
0.406,0.014
0.216,0.07
0.148,0.066
0.218,0.018
0.006,0.0
0.028,0.0
0.006,0.018
0.172,0.068
0.284,0.066
0.264,0.02
0.346,0.058
0.126,0.01
0.15,0.012
0.398,0.046
0.286,0.066
0.484,0.006
0.422,0.012
0.444,0.03
0.462,0.022
0.156,0.014
0.072,0.002
0.3,0.064
0.392,0.016
0.178,0.068
0.238,0.07
0.094,0.056
0.18,0.016
0.23,0.02
0.374,0.052
0.482,0.012
0.124,0.062
0.05,0.0
0.438,0.01
0.468,0.006
0.422,0.038
0.384,0.048
0.032,0.036
0.176,0.068
0.268,0.02
0.408,0.014
0.452,0.008
0.306,0.064
0.324,0.02
0.346,0.02
0.452,0.026
0.222,0.07
0.2,0.07
0.154,0.066
0.292,0.022
0.012,0.0
0.08,0.004
0.436,0.034
0.29,0.066
0.248,0.02
0.27,0.02
0.04,0.04
0.36,0.018
0.398,0.044
0.36,0.054
0.132,0.01
0.444,0.01
0.466,0.022
0.28,0.068
0.132,0.064
0.11,0.008
0.134,0.012
0.322,0.062
0.184,0.016
0.428,0.012
0.01,0.024
0.458,0.008
0.056,0.046
