0.052,0.042
0.11,0.114
0.164,0.058
0.288,0.044
0.038,0.0
0.016,0.0
0.096,0.09
0.18,0.12
0.0,0.01
0.038,0.036
0.394,0.012
0.372,0.03
0.126,0.122
0.082,0.048
0.356,0.04
0.248,0.098
0.34,0.032
0.106,0.032
0.364,0.034
0.132,0.124
0.302,0.04
0.194,0.116
0.03,0.032
0.014,0.024
0.202,0.056
0.37,0.018
0.096,0.08
0.022,0.0
0.316,0.038
0.182,0.058
0.104,0.038
0.286,0.078
0.088,0.048
0.05,0.04
0.006,0.002
0.38,0.014
0.278,0.046
0.006,0.02
0.17,0.122
0.09,0.05
0.278,0.082
0.118,0.054
0.258,0.048
0.142,0.056
0.058,0.044
0.184,0.12
0.348,0.044
0.096,0.088
0.394,0.01
0.066,0.002
0.23,0.104
0.12,0.054
0.372,0.028
0.104,0.046
0.248,0.096
0.34,0.03
0.17,0.058
0.148,0.058
0.068,0.004
0.34,0.048
0.044,0.0
0.186,0.12
0.102,0.108
0.362,0.022
0.268,0.086
0.138,0.124
0.262,0.092
0.096,0.078
0.16,0.124
0.126,0.056
0.248,0.05
0.208,0.112
0.004,0.016
0.066,0.046
0.27,0.086
0.384,0.014
0.074,0.004
0.028,0.0
0.006,0.0
0.218,0.054
0.306,0.066
0.072,0.048
0.33,0.032
0.096,0.014
0.324,0.058
0.386,0.014
0.222,0.108
0.292,0.042
0.096,0.05
0.058,0.042
0.36,0.038
0.254,0.05
0.146,0.126
0.102,0.052
0.384,0.022
0.252,0.094
0.368,0.032
0.344,0.028
0.102,0.106
0.344,0.046
0.172,0.058
0.238,0.052
0.268,0.048
0.392,0.016
0.308,0.04
0.2,0.116
0.208,0.056
0.354,0.024
0.29,0.076
0.108,0.054
0.27,0.048
0.088,0.008
0.05,0.0
0.132,0.056
0.174,0.12
0.322,0.036
0.214,0.112
0.11,0.054
0.16,0.058
0.08,0.004
0.012,0.0
0.352,0.042
0.224,0.054
0.328,0.056
0.1,0.104
0.398,0.008
0.312,0.066
0.122,0.122
0.078,0.048
0.376,0.026
0.244,0.098
0.336,0.032
0.36,0.036
0.004,0.004
0.336,0.05
0.298,0.042
0.4,0.01
0.102,0.05
0.19,0.118
0.128,0.124
0.176,0.058
0.236,0.102
0.152,0.126
0.114,0.118
0.282,0.08
0.1,0.058
0.358,0.024
0.23,0.054
0.204,0.114
0.376,0.016
0.274,0.048
0.046,0.04
0.274,0.084
0.102,0.022
0.214,0.056
0.192,0.056
0.368,0.02
0.032,0.034
0.214,0.11
0.284,0.044
0.056,0.0
0.034,0.0
0.39,0.012
0.018,0.028
0.226,0.106
0.098,0.1
0.138,0.056
0.1,0.066
0.352,0.04
0.328,0.054
0.062,0.002
0.1,0.102
0.162,0.058
0.312,0.064
0.04,0.038
0.008,0.022
0.336,0.048
0.298,0.04
0.32,0.058
0.026,0.032
0.128,0.122
0.198,0.056
0.388,0.018
0.018,0.0
0.098,0.072
0.01,0.022
0.016,0.026
0.084,0.048
0.266,0.088
0.06,0.044
0.204,0.112
0.166,0.122
0.062,0.046
0.104,0.11
0.314,0.038
0.102,0.02
0.07,0.004
0.326,0.034
0.106,0.112
0.032,0.032
0.218,0.11
0.296,0.074
0.098,0.098
0.304,0.068
0.226,0.104
0.116,0.054
0.054,0.042
0.0,0.008
0.288,0.078
0.1,0.064
0.188,0.058
0.166,0.058
0.04,0.0
0.29,0.044
0.182,0.12
0.106,0.03
0.144,0.056
0.38,0.022
0.064,0.002
0.24,0.1
0.264,0.048
0.098,0.052
0.156,0.124
0.134,0.124
0.35,0.026
0.258,0.092
0.098,0.07
0.304,0.04
0.196,0.116
0.396,0.01
0.204,0.056
0.372,0.018
0.15,0.058
0.046,0.0
0.024,0.0
0.188,0.12
0.106,0.038
0.128,0.056
0.068,0.048
0.364,0.022
0.28,0.046
0.218,0.108
0.152,0.058
0.172,0.122
0.092,0.05
0.28,0.082
0.14,0.124
0.096,0.086
